Item, Quantity, Price, Link
Z84C00,1,5.44€,https://it.aliexpress.com/item/1005009333955800.html
RP2040,1,4.05€,https://www.melopero.com/shop/boards/pico/raspberrypirp2040lotto5pezzi/

HM62256BLP,2,5.48€,https://www.ebay.it/itm/404413365170
W25Q32JVSS,1,4.93€,https://it.aliexpress.com/item/1005007710572639.html

AMS1117-3.3,1,1.67€,https://it.aliexpress.com/item/1005009941982629.html

USB C 2.0 port,1,3.07€,https://it.aliexpress.com/item/1005008805157100.html
74HC595,3,2.36€,https://it.aliexpress.com/item/1005010401959630.html
74HC155,1,14.69€,https://it.aliexpress.com/item/1005009894977656.html
74HCT574,4,2.49€,https://it.aliexpress.com/item/1005007229463668.html
SN74LVC245APW,3,1.05€,https://it.aliexpress.com/item/1005008696175075.html
TXS0104EPW,1,1.46€,https://it.aliexpress.com/item/1005004668468003.html
Connector 2 pins,1,1.59€,https://it.aliexpress.com/item/4000979931385.html
Connector 2x20 pins,1,8.07€,https://it.aliexpress.com/item/1005007017658956.html
Connector 2x10 pins,1,6.25€,https://it.aliexpress.com/item/1005007017658956.html

Crystal 12MHz 20pF,1,1.22€,https://www.ebay.it/itm/263567429638
Oscillator 8MHz,1,1.98€,https://www.ebay.com/itm/364037958378

74HC14,1,5.05€,https://it.aliexpress.com/item/1005007408238420.html
74HC04,1,2.27€,https://it.aliexpress.com/item/1005008029271455.html
74HC00,1,3.65€,https://it.aliexpress.com/item/1005007018312570.html

Resistor 0 ohm,1,3.17€,https://it.aliexpress.com/item/1005008084460988.html
Resistor 27.4 ohm,2,2.74€,https://it.aliexpress.com/item/1005007345052730.html
Resistor 1k ohm,36,2.82€,https://it.aliexpress.com/item/1005007345052730.html
Resistor 3.3k ohm,6,2.70€,https://it.aliexpress.com/item/1005007345052730.html
Resistor 5k ohm,2,2.78€,https://it.aliexpress.com/item/1005007345052730.html
Resistor 10k ohm,13,2.73€,https://it.aliexpress.com/item/1005007345052730.html
Resistor 470k ohm,1,2.78€,https://it.aliexpress.com/item/1005007345052730.html

Capacitors 15pF,2,0.88€,https://it.aliexpress.com/item/1005008596894135.html
Capacitors 0.1uF,13,1.23€,https://it.aliexpress.com/item/1005006925643424.html
Capacitors 1uF,4,1.36€,https://it.aliexpress.com/item/1005006925643424.html
Capacitors 10uF,2,1.53€,https://it.aliexpress.com/item/1005006925643424.html

Button,5,1.46€,https://it.aliexpress.com/item/1005007838995217.html
Switch,1,3.94€,https://it.aliexpress.com/item/1005010660243402.html
LED,40,2.01€,https://it.aliexpress.com/item/1005006235139318.html
Diodes,24,1.23€,https://it.aliexpress.com/item/1005003394917074.html
Fuse 500mA,1,2.51€,https://it.aliexpress.com/item/1005005406783769.html
